Job_Role,Company,Location,Job Experience,Skills/Description
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,6-11,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence"
Staff Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics"
Data Scientist-Client Engineering,IBM,Mumbai,5-10,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical"
Senior Data Scientist,Walmart,Bangalore/Bengaluru,5-10,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks"
Cognitive/AI Senior Data Scientist,IBM,Bangalore/Bengaluru,4-8,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR"
Lead - Data Scientist,Applied Materials,Bangalore/Bengaluru,10-15,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau"
Sr NLP & Text Mining Data Scientist,Evolent Health,Pune,2-6,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare"
Sr. Data Scientist,Invesco,Hyderabad/Secunderabad,5-10,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM"
Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,8-13,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management"
Senior Data Scientist,ICERTIS Solutions,Pune,10-12,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing"
Data Scientist,Applied Materials,Bangalore/Bengaluru,0-3,"Unix, semiconductor, JMP, analyzing data, statistical analysis, Multivariate Analysis, Statistical Programming, Statistics"
Senior Associate - Data Scientist,Affine,Remote,2-4,"Excel, Machine Learning, Python, SQL"
Data Analyst / Data Scientist,GSOURCE TECHNOLOGIES PRIVATE LIMITED,Pune(Kalyani Nagar),1-6,"excel, Data Analysis, Data Visualization, Tableau, Data Science, VLOOKUP"
Rolls-Royce Data Labs : Data Scientist,Rolls Royce,Bangalore/Bengaluru,3-5,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python"
Data Scientist,Applied Materials,Bangalore/Bengaluru,7-10,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas"
Staff Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL"
Data Scientist,CRED,Bangalore/Bengaluru,1-5,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval"
Senior Data Scientist (IN4),Walmart,Bangalore/Bengaluru,5-9,"IT Skills, Python, Software Development, Testing, Data Science, Machine Learning, Cloud, Product management"
Senior Data Scientist,Walmart,Bangalore/Bengaluru,5-9,"IT Skills, Python, Data Science, Machine Learning, Big Data, Supply chain, Data analysis, Web analytics"
Sr Data Scientist,Target,Bangalore/Bengaluru,4-9,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL"
Senior Data Scientist -Python+ML(5-7 years),Knowledge Foundry Business Solutions Pvt. Ltd.,Bangalore/Bengaluru,5-7,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence"
Senior Data Scientist,Ericsson Global Services,Bangalore/Bengaluru,10-15,"Bidding, Google Analytics, Data management, Social networking, Google AdWords, PHP, HTML, HTTP"
